Country,Injuries,Time
Brazil,17,3.30
Chile,16,6.97
Honduras,15,7.67
Nigeria,15,6.42
Mexico,15,3.97
Costa Rica,13,3.80
USA,12,6.40
Ecuador,12,4.55
France,10,7.32
South Korea,10,4.52
Algeria,10,4.05
Iran,9,5.43
Russia,9,5.27
Ivory Coast,9,4.63
Croatia,9,4.32
Colombia,9,4.32
Uruguay,9,4.12
Greece,9,2.65
Cameroon,8,3.15
Germany,8,1.97
Spain,8,1.82
Belgium,7,3.38
Japan,7,2.08
Italy,7,1.60
Switzerland,7,1.35
England,7,3.13
Artentina,6,2.80
Ghana,6,1.85
Australia,6,1.83
Portugal,4,1.82
Netherlands,4,1.65
Bosnia and Herzegovina,2,0.40
