Food,Score
Organic,4.83
Organic,5.50
Organic,6.33
Organic,6.33
Organic,5.67
Organic,6.17
Organic,5.50
Organic,5.00
Organic,5.00
Organic,6.33
Organic,6.17
Organic,4.83
Organic,4.67
Organic,5.50
Organic,5.83
Organic,4.67
Organic,6.17
Organic,5.33
Organic,6.17
Organic,5.67
Control,5.33
Control,5.67
Control,5.33
Control,5.17
Control,5.67
Control,5.67
Control,3.83
Control,5.33
Control,4.67
Control,4.83
Control,5.33
Control,3.83
Control,5.33
Control,5.33
Control,4.33
Control,5.50
Control,5.17
Control,6.17
Control,4.83
Control,4.33
Comfort,5.83
Comfort,5.00
Comfort,6.00
Comfort,5.00
Comfort,4.17
Comfort,4.67
Comfort,5.17
Comfort,5.50
Comfort,4.67
Comfort,4.50
Comfort,5.17
Comfort,5.17
Comfort,4.50
Comfort,4.67
Comfort,4.83
Comfort,5.83
Comfort,5.17
Comfort,4.33
Comfort,4.67
Comfort,4.33
Comfort,4.67
Comfort,3.67
