Age,Ling,Time
Young,Mono,828
Young,Mono,849
Young,Mono,839
Young,Mono,878
Young,Mono,723
Young,Mono,826
Young,Mono,913
Young,Mono,792
Young,Mono,869
Young,Mono,748
Young,Mono,803
Young,Mono,786
Young,Mono,827
Young,Mono,865
Young,Mono,831
Young,Mono,848
Young,Mono,813
Young,Mono,736
Young,Mono,825
Young,Mono,815
Young,Bi,748
Young,Bi,784
Young,Bi,741
Young,Bi,833
Young,Bi,795
Young,Bi,845
Young,Bi,748
Young,Bi,688
Young,Bi,777
Young,Bi,758
Young,Bi,806
Young,Bi,767
Young,Bi,783
Young,Bi,769
Young,Bi,818
Young,Bi,769
Young,Bi,838
Young,Bi,846
Young,Bi,841
Young,Bi,759
Old,Mono,1051
Old,Mono,961
Old,Mono,905
Old,Mono,1042
Old,Mono,1049
Old,Mono,1019
Old,Mono,923
Old,Mono,1033
Old,Mono,955
Old,Mono,985
Old,Mono,1050
Old,Mono,1027
Old,Mono,1071
Old,Mono,997
Old,Mono,1056
Old,Mono,902
Old,Mono,985
Old,Mono,930
Old,Mono,1027
Old,Mono,969
Old,Bi,949
Old,Bi,955
Old,Bi,862
Old,Bi,975
Old,Bi,949
Old,Bi,951
Old,Bi,849
Old,Bi,1013
Old,Bi,943
Old,Bi,915
Old,Bi,960
Old,Bi,822
Old,Bi,892
Old,Bi,886
Old,Bi,944
Old,Bi,888
Old,Bi,963
Old,Bi,802
Old,Bi,914
Old,Bi,954
