obs,species,water,fbiomass,dbiomass
1,1,1,105.13,37.65
2,1,1,138.95,48.85
3,1,1,90.05,38.85
4,1,1,102.25,36.91
5,1,2,207.9,74.35
6,1,2,157.15,63.65
7,1,2,152.25,56.95
8,1,2,143.25,60.50
9,1,3,192.95,79.25
10,1,3,165.55,66.55
11,1,3,147.05,66.45
12,1,3,169.75,71.76
13,1,4,266.88,91.85
14,1,4,210.15,82.25
15,1,4,162.85,71.35
16,1,4,220.65,95.67
17,1,5,289.82,108.35
18,1,5,207.15,80.55
19,1,5,235.38,112.55
20,1,5,303.25,113.95
21,1,6,294.81,122.75
22,1,6,362.35,142.35
23,1,6,360.39,156.95
24,1,6,269.95,124.41
25,1,7,309,122.45
26,1,7,259.75,96.15
27,1,7,331.15,131.85
28,1,7,303.62,132.99
29,2,1,138.45,50.45
30,2,1,105.25,28.35
31,2,1,141.74,35.25
32,2,1,80.15,23.93
33,2,2,130.75,61.85
34,2,2,208.15,55.75
35,2,2,105.55,49.35
36,2,2,182.55,62.51
37,2,3,258.55,80.25
38,2,3,263.95,97.85
39,2,3,234.25,69.05
40,2,3,262.75,71.26
41,2,4,328.35,114.05
42,2,4,271.85,110.95
43,2,4,279,96.25
44,2,4,184.78,59.14
45,2,5,399.11,111.55
46,2,5,385.55,120.15
47,2,5,322.9,115.75
48,2,5,282.95,79.80
49,2,6,370.15,110.65
50,2,6,422.95,118.25
51,2,6,380.49,118.65
52,2,6,199.46,65.17
53,2,7,555.31,172.65
54,2,7,365.85,100.65
55,2,7,311.05,96.05
56,2,7,357.25,109.15
57,3,1,50.15,24.65
58,3,1,60.55,27.15
59,3,1,71.15,34.35
60,3,1,40.55,18.83
61,3,2,60.05,23.45
62,3,2,79.15,35.55
63,3,2,120.35,46.25
64,3,2,55.88,22.21
65,3,3,81.65,34.75
66,3,3,130.45,52.15
67,3,3,64.15,25.75
68,3,3,84.95,32.30
69,3,4,214.49,77.05
70,3,4,129.25,56.75
71,3,4,135.95,59.55
72,3,4,187.45,65.85
73,3,5,189.75,68.35
74,3,5,166.35,66.35
75,3,5,154.45,62.15
76,3,5,147.15,62.11
77,3,6,239.49,75.05
78,3,6,175.45,67.65
79,3,6,168.05,63.25
80,3,6,212.65,91.19
81,3,7,209.1,65.45
82,3,7,176.35,67.55
83,3,7,196.95,76.55
84,3,7,170.15,59.48
85,4,1,42.75,20.55
86,4,1,37.45,14.35
87,4,1,42.25,17.95
88,4,1,18.06,9.27
89,4,2,49.45,18.55
90,4,2,64.65,24.95
91,4,2,56.75,23.55
92,4,2,62.45,26.11
93,4,3,87.04,33.85
94,4,3,110.23,43.95
95,4,3,101.55,38.05
96,4,3,79.35,32.35
97,4,4,74.26,28.65
98,4,4,78.95,20.95
99,4,4,125.95,41.65
100,4,4,107.8,46.31
101,4,5,147.35,51.95
102,4,5,127.45,40.35
103,4,5,159.85,52.65
104,4,5,179.94,49.20
105,4,6,129.75,43.15
106,4,6,207.79,68.35
107,4,6,185.35,65.65
108,4,6,178.55,67.63
109,4,7,92.37,28.95
110,4,7,104.55,34.95
111,4,7,232.92,78.85
112,4,7,202.35,71.65
