min,sec,total_secs
4,0,240
5,16,316
4,19,259
0,46,46
14,31,871
6,51,411
22,46,1366
3,53,233
8,40,520
3,59,239
4,19,259
8,55,535
3,33,213
8,12,492
5,15,315
11,36,696
3,1,181
5,57,357
2,10,130
6,13,373
4,5,245
5,5,305
3,8,188
6,38,398
2,20,140
4,12,252
5,31,331
0,47,47
5,9,309
4,5,245
1,9,69
4,53,293
2,40,160
4,5,245
3,4,184
5,26,326
10,12,612
7,54,474
2,51,171
8,18,498
8,4,484
4,31,271
3,27,207
2,49,169
2,51,171
3,0,180
4,29,269
4,57,297
4,26,266
30,47,1847
