Type1,Type,Age
1,Novels,57
1,Novels,90
1,Novels,67
1,Novels,56
1,Novels,90
1,Novels,72
1,Novels,56
1,Novels,90
1,Novels,80
1,Novels,74
1,Novels,73
1,Novels,86
1,Novels,53
1,Novels,72
1,Novels,86
1,Novels,82
1,Novels,74
1,Novels,60
1,Novels,79
1,Novels,80
1,Novels,79
1,Novels,77
1,Novels,64
1,Novels,72
1,Novels,88
1,Novels,75
1,Novels,79
1,Novels,74
1,Novels,85
1,Novels,71
1,Novels,78
1,Novels,57
1,Novels,54
1,Novels,50
1,Novels,59
1,Novels,72
1,Novels,60
1,Novels,77
1,Novels,50
1,Novels,49
1,Novels,73
1,Novels,39
1,Novels,73
1,Novels,61
1,Novels,90
1,Novels,77
1,Novels,57
1,Novels,72
1,Novels,82
1,Novels,54
1,Novels,62
1,Novels,74
1,Novels,65
1,Novels,83
1,Novels,86
1,Novels,73
1,Novels,79
1,Novels,63
1,Novels,72
1,Novels,85
1,Novels,91
1,Novels,77
1,Novels,66
1,Novels,75
1,Novels,90
1,Novels,35
1,Novels,86
2,Poems,88
2,Poems,69
2,Poems,78
2,Poems,68
2,Poems,72
2,Poems,60
2,Poems,50
2,Poems,47
2,Poems,74
2,Poems,36
2,Poems,87
2,Poems,55
2,Poems,68
2,Poems,75
2,Poems,78
2,Poems,85
2,Poems,69
2,Poems,38
2,Poems,58
2,Poems,51
2,Poems,72
2,Poems,58
2,Poems,84
2,Poems,30
2,Poems,79
2,Poems,90
2,Poems,66
2,Poems,45
2,Poems,70
2,Poems,48
2,Poems,31
2,Poems,43
3,Nonfiction,74
3,Nonfiction,86
3,Nonfiction,87
3,Nonfiction,68
3,Nonfiction,76
3,Nonfiction,73
3,Nonfiction,63
3,Nonfiction,78
3,Nonfiction,83
3,Nonfiction,86
3,Nonfiction,40
3,Nonfiction,75
3,Nonfiction,90
3,Nonfiction,47
3,Nonfiction,91
3,Nonfiction,94
3,Nonfiction,61
3,Nonfiction,83
3,Nonfiction,75
3,Nonfiction,89
3,Nonfiction,77
3,Nonfiction,86
3,Nonfiction,66
3,Nonfiction,97
