sample,obs1,obs2,obs3,obs4,mean,stdev
1,2345,2723,2345,2723,2534,218
2,3111,3058,2385,2862,2854,330
3,2471,2053,2526,3161,2553,457
4,2154,2968,2742,2568,2608,344
5,3279,2472,2833,2326,2728,425
6,3043,2363,2018,2385,2452,428
7,2689,2762,2756,2402,2652,170
8,2821,2477,2598,2728,2656,150
9,2608,2599,2479,3453,2785,449
10,3293,2318,3072,2734,2854,425
11,2664,2497,2315,2652,2532,163
12,1688,3309,3336,3183,2879,797
13,3499,3342,2923,3015,3195,271
14,2352,2831,2459,2631,2568,210
15,2573,2184,2962,2752,2618,330
16,2351,2527,3006,2976,2715,327
17,2863,2938,2362,2753,2729,256
18,3281,2726,3297,2601,2976,365
19,3164,2874,3730,2860,3157,407
20,2968,3505,2806,2598,2969,388
